window_period,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
"['2000-01-02', '2000-01-09']",0,0,0,0,0,0,0,0,0,0
"['2000-01-09', '2000-01-16']",0,0,0,0,0,0,0,0,0,0
"['2000-01-16', '2000-01-23']",0,0,0,0,0,0,0,0,0,0
"['2000-01-23', '2000-01-30']",0,0,0,0,0,0,0,0,0,0
"['2000-01-30', '2000-02-06']",0,0,0,0,0,0,0,0,0,0
"['2000-02-06', '2000-02-13']",0,0,0,0,0,0,0,0,0,0
"['2000-02-13', '2000-02-20']",0,0,0,0,0,0,0,0,0,0
"['2000-02-20', '2000-02-27']",0,0,0,0,0,0,0,0,0,0
"['2000-02-27', '2000-03-05']",0,0,0,0,0,0,0,0,0,0
"['2000-03-05', '2000-03-12']",0,0,0,0,0,0,0,0,0,0
"['2000-03-12', '2000-03-19']",0,0,0,0,0,0,0,0,0,0
"['2000-03-19', '2000-03-26']",0,0,0,0,0,0,0,0,0,0
"['2000-03-26', '2000-04-02']",0,0,0,0,0,0,0,0,0,0
"['2000-04-02', '2000-04-09']",0,0,0,0,0,0,0,0,0,0
"['2000-04-09', '2000-04-16']",0,0,0,0,0,0,0,0,0,0
"['2000-04-16', '2000-04-23']",0,0,0,0,0,0,0,0,0,0
"['2000-04-23', '2000-04-30']",0,0,0,0,0,0,0,0,0,0
"['2000-04-30', '2000-05-07']",0,0,0,0,0,0,0,0,0,0
"['2000-05-07', '2000-05-14']",0,0,0,0,0,0,0,0,0,0
"['2000-05-14', '2000-05-21']",0,0,0,0,0,0,0,0,0,0
"['2000-05-21', '2000-05-28']",0,0,0,0,0,0,0,0,0,0
"['2000-05-28', '2000-06-04']",0,0,0,0,0,0,0,0,0,0
"['2000-06-04', '2000-06-11']",0,0,0,0,0,0,0,0,0,0
"['2000-06-11', '2000-06-18']",0,0,0,0,0,0,0,0,0,0
"['2000-06-18', '2000-06-25']",0,0,0,0,0,0,0,0,0,0
"['2000-06-25', '2000-07-02']",0,0,0,0,0,0,0,0,0,0
"['2000-07-02', '2000-07-09']",0,0,0,0,0,0,0,0,0,0
"['2000-07-09', '2000-07-16']",0,0,0,0,0,0,0,0,0,0
"['2000-07-16', '2000-07-23']",0,0,0,0,0,0,0,0,0,0
"['2000-07-23', '2000-07-30']",0,0,0,0,0,0,0,0,0,0
"['2000-07-30', '2000-08-06']",0,0,0,0,0,0,0,0,0,0
"['2000-08-06', '2000-08-13']",0,0,0,0,0,0,0,0,0,0
"['2000-08-13', '2000-08-20']",0,0,0,0,0,0,0,0,0,0
"['2000-08-20', '2000-08-27']",0,0,0,0,0,0,0,0,0,0
"['2000-08-27', '2000-09-03']",0,0,0,0,0,0,0,0,0,0
"['2000-09-03', '2000-09-10']",0,0,0,0,0,0,0,0,0,0
"['2000-09-10', '2000-09-17']",0,0,0,0,0,0,0,0,0,0
"['2000-09-17', '2000-09-24']",0,0,0,0,0,0,0,0,0,0
"['2000-09-24', '2000-10-01']",0,0,0,0,0,0,0,0,0,0
"['2000-10-01', '2000-10-08']",0,0,0,0,0,0,0,0,0,0
"['2000-10-08', '2000-10-15']",0,0,0,0,0,0,0,0,0,0
"['2000-10-15', '2000-10-22']",0,0,0,0,0,0,0,0,0,0
"['2000-10-22', '2000-10-29']",0,0,0,0,0,0,0,0,0,0
"['2000-10-29', '2000-11-05']",0,0,0,0,0,0,0,0,0,0
"['2000-11-05', '2000-11-12']",0,0,0,0,0,0,0,0,0,0
"['2000-11-12', '2000-11-19']",0,0,0,0,0,0,0,0,0,0
"['2000-11-19', '2000-11-26']",0,0,0,0,0,0,0,0,0,0
"['2000-11-26', '2000-12-03']",0,0,0,0,0,0,0,0,0,0
"['2000-12-03', '2000-12-10']",0,0,0,0,0,0,0,0,0,0
"['2000-12-10', '2000-12-17']",0,0,0,0,0,0,0,0,0,0
"['2000-12-17', '2000-12-24']",0,0,0,0,0,0,0,0,0,0
"['2000-12-24', '2000-12-31']",0,0,0,0,0,0,0,0,0,0
"['2000-12-31', '2001-01-07']",0,0,0,0,0,0,0,0,0,0
"['2001-01-07', '2001-01-14']",0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003
"['2001-01-14', '2001-01-21']",6.964428400843159e-05,0.00011172413483380902,0.0002240741014453906,0.0002578133502938718,0.00022197281138342442,0.00016123124419975004,0.00017732988041099253,0.0001786585435625988,0.0001785228159458031,0.00013294342713877027
"['2001-01-21', '2001-01-28']",6.468752149212357e-05,9.172101634013107e-05,3.9983330060308023e-05,0.0001242860773586182,0.00014278013423408084,0.0001564687641448865,0.0001645556553308769,0.00017484890854563837,7.414299157135094e-05,4.503966618550451e-05
"['2001-01-28', '2001-02-04']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['2001-02-04', '2001-02-11']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['2001-02-11', '2001-02-18']",4.45149026704465e-05,5.7991414180624416e-05,0.00012586075203404592,0.00016862222778336135,0.00017238147795534204,0.00023683517983746064,0.0001776221742825128,0.00019806429906984438,0.00019021798735588166,0.00018658619090611853
"['2001-02-18', '2001-02-25']",4.894670774980279e-05,9.673408704834766e-05,0.00017346212610362894,0.00023165264360095435,0.00015238490672061844,0.00014967367626573313,0.0001976943093515692,0.00014784906689817228,9.337928134647664e-05,7.68511182970778e-05
